experiment,condition,session_start,session_finish,session_duration_secs,recorded_sequence
exp_B,exp_B_passive_pat1,15-February-2022 14:33:44,15-February-2022 14:34:56,71.0,react_inter_yesido.mp3
,,,,,3_DS5_maintaining_passive_pat1.mp3
